text,label
"['MAHSEAMLES', ' GIVEN AT ', '587', ' FOR ', 'DELIVERY', '  TOUCHED ', '597.90', ' ', 'INTRADAY', ' ITSELF ']","['symbol', 'NANA', 'enter', 'NANA', 'delivery', 'NANA', 'touched', 'NANA', 'intraday', 'NANA']"
"['NIFTY FUTURES', ' SUGGESTED AT ', '16390', ' ... TOUCHED ', '16430', '+ ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['WATCHOUT.. FRIENDS...  OUR ', 'NIFTY FUTURES', ' GIVEN A BUY AT ', '16390', ' ... ROCKING NOW... TOUCHED ', '16447', '+ ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  SELAN GIVEN ABOVE 202 TOUCHED ', 'SELAN', ' GIVEN ABOVE ', '202', '', '204.50', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['WATCHOUT.. ', 'RELIANCE', ' ABOVE ', '2776', ' TOUCHED ', '2785.80', ' ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', 'JKPAPER', ' GIVEN ABOVE ', '346', ' TOUCHED 349.90 (ALMOST FIRST TARGET OF ', '349.90', '350', ' ACHIEVED) ']","['intraday', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'exit', 'NANA']"
"['INTRADAY', ' UPDATE  KEC GIVEN A BUY AT 385 TOUCHED TARGET ', 'KEC', ' GIVEN A BUY AT ', '385', '', '390', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  MAHINDCIE GIVEN ABOVE 235 TOUCHED ', 'MAHINDCIE', ' GIVEN ABOVE ', '235', '', '237.50', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['NIFTY SPOT', ' BELOW ', '15785', ' TOUCHED 15736 LEVELS  ALERTED AT ', '15736', '15795', ' LEVELS ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'enter', 'NANA']"
"['INTRADAY', ' UPDATE  WABAG GIVEN AT 253 TOUCHED FIRST TARGET 257 AND IS GOING STRONG AT ', 'WABAG', ' GIVEN AT ', '253', '', '257', '258.50', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'touched', 'NANA']"
